λ&0&1&2&3&4&5&6&7&8
0.002&0.501 489 66&1.507 419 39&2.519 202 12&3.536 744 13&4.559 955 56&5.588 750 05&6.623 044 60&7.662 759 33&8.707 817 30
0.006&0.504 409 71&1.521 805 65&2.555 972 30&3.606 186 33&4.671 800 37&5.752 230 87&6.846 948 47&7.955 470 29&9.077 353 66
0.01&0.507 256 20&1.535 648 28&2.590 845 80&3.671 094 94&4.774 913 12&5.901 026 67&7.048 326 88&8.215 837 81&9.402 692 31
0.05&0.532 642 75&1.653 436 01&2.873 979 63&4.176 338 91&5.549 297 81&6.984 963 10&8.477 397 34&10.021 9318&11.614 7761
0.1&0.559 146 33&1.769 502 64&3.138 624 31&4.628 882 81&6.220 300 90&7.899 767 23&9.657 839 99&11.487 3156&13.378 9698
0.3&0.637 991 78&2.094 641 99&3.844 782 65&5.796 573 63&7.911 752 73&10.166 4889&12.544 2587&15.032 7713&17.622 4482
0.5&0.696 175 82&2.324 406 35&4.327 524 98&6.578 401 95&9.028 778 72&11.648 7207&14.417 6692&17.320 4242&20.345 1931
0.7&0.743 903 50&2.509 228 10&4.710 328 10&7.193 265 28&9.902 610 70&12.803 9297&15.873 6836&19.094 5183&22.452 9996
1&0.803 770 65&2.737 892 27&5.179 291 69&7.942 403 99&10.963 5831&14.203 1394&17.634 0492&21.236 4362&24.994 9457
2&0.951 568 47&3.292 867 82&6.303 880 57&9.727 323 19&13.481 2759&17.514 1324&21.790 9564&26.286 1250&30.979 8830
50&2.499 708 77&8.915 096 36&17.436 9921&27.192 6458&37.938 5022&49.516 4187&61.820 3488&74.772 8290&88.314 3280
200&3.930 931 34&14.059 2268&27.551 4347&43.005 2709&60.033 9933&78.385 6232&97.891 3315&118.427 830&139.900 400
1000&3.694 220 85&23.972 2061&47.017 3387&73.419 1140&102.516 157&133.876 891&167.212 258&202.311 200&239.011 580
8000&13.366 9076&47.890 7687&93.960 6046&146.745 512&204.922 711&267.628 498&334.284 478&404.468 350&477.855 700
20000&18.137 2291&64.986 6757&127.508 839&199.145 124&278.100 238&363.201 843&453.664 875&548.916 140&648.515 330
