         -24          12
           0           8
         -28           0
         -40         -12
         -36           8
          -8          -2
         -20           0
           4           8
          -8           2
         -24         -22
          12         -14
         -28           2
         -28         -12
         -24           2
         -16           0
         -44          -8
         -24          24
         -40           8
         -20           0
         -16         -34
         -20         -10
         -56         -22
         -44           6
         -16          -6
         -32         -26
         -32          -8
         -24          -2
         -28          24
         -20         -14
         -36           0
         -44          12
           0          -2
         -52          -4
         -36         -12
           0           4
         -24          -4
         -16          14
         -28          -2
         -44          20
         -28          -6
         -36           4
         -32          -4
         -24         -10
         -20         -10
           4         -12
         -72         -12
         -44         -20
         -60         -12
         -16          -4
         -68          40
           0          -2
          -8         -20
          -8           4
         -24         -14
         -68           8
         -24          -8
         -32           2
         -40         -12
         -40         -16
         -44          -2
         -32         -16
         -56          -4
         -28         -34
         -24          -8
         -68          -8
         -16          10
           4          18
         -44          10
         -20         -12
         -44         -20
         -24          18
         -48           0
         -20          -6
         -48          -6
         -24         -16
         -36          -8
         -16           8
          -8           2
         -40           2
         -16           8
         -16           6
         -64         -30
         -12         -18
         -56          -6
         -44          -2
         -52         -20
         -20         -14
         -32         -10
         -56          -6
         -48           0
         -16         -10
           0           0
         -12         -10
         -36         -14
         -32           8
         -28           2
         -20         -22
         -20          -4
         -28         -12
          -4          -8
         -28          -8
         -16           2
         -12           8
         -28         -20
         -28          12
         -20          20
         -28          20
         -32           4
         -44          24
         -16          10
         -32         -14
         -44          -2
         -32           2
         -16          18
           8          -2
         -36          12
          -4          18
           4           8
         -28          -8
         -20           6
         -48          20
         -12           6
         -28          -2
         -56          -6
         -20           6
           0          12
         -20          -8
         -24           0
         -48          24
         -36          28
         -40           6
         -12         -12
         -36          -2
         -36          -2
         -24          -4
         -24         -12
         -28         -16
         -32           4
         -20           8
         -52          22
         -44           2
         -20         -30
          -8           4
         -64          12
         -64          20
         -40          12
         -12          -6
          -8           2
         -36          -6
         -20          16
         -52          60
         -36          22
         -64          16
         -36           8
         -44           8
         -48           2
         -32         -20
         -36          -2
         -48          -4
         -48         -18
         -32         -28
         -28           8
           0           4
         -24           4
         -12          10
         -32          -6
         -36          12
         -20          16
         -32          14
         -40           0
         -56          20
         -28          28
         -40          -4
         -36          -8
         -56         -22
         -32         -20
         -24           6
         -44          -2
         -60          -6
         -24           4
         -20          -4
          -8          -4
           0         -10
         -36           0
         -44          -8
         -20           0
         -20         -18
         -36          -8
         -56          -6
         -20          -6
         -16          14
         -36           4
         -20          14
         -52          28
         -64          24
         -40          -4
         -32         -18
         -44           0
         -16          -6
           8         -30
         -80          18
         -16          24
         -56          20
         -40           4
         -48          -8
         -28          16
         -20         -18
         -24           0
         -16          -4
         -24          12
         -16          22
         -40          16
         -24          10
         -24          -2
         -28         -20
         -48         -12
         -60         -14
         -40          22
         -52          22
         -36           4
         -52          20
         -40          30
         -24          10
         -40           6
          -8          -2
         -20         -10
         -32           8
          -8           6
         -52         -18
         -64         -36
         -44         -16
          -4           4
         -20           6
         -28         -16
         -44         -18
         -68         -20
         -24         -14
         -32          10
         -20          18
          -8          -4
         -16          -4
         -24           2
         -28          24
         -24         -14
         -28          36
          -8          26
         -64         -28
         -24           2
         -16           8
          -8          14
         -40          28
         -40          24
         -32           4
         -16           0
           4           0
         -56         -14
         -32          -6
         -24         -14
         -48         -12
         -48         -18
         -36         -14
         -24         -22
         -36         -10
         -48          10
         -28           8
         -76          16
         -24          -8
           8           4
         -32          -2
         -36          26
         -24          -8
         -16          34
         -24          14
         -40          14
         -48           6
         -24          -2
          -8          14
         -20           4
         -28         -16
         -64         -36
         -40         -16
         -28         -18
         -40          14
         -44          -6
         -48           8
         -44          22
         -28           6
         -32          10
         -56          -8
         -48           6
         -36          22
         -60          16
         -36          20
         -36          20
         -64          50
         -36          26
         -36          34
         -36          -8
         -24           4
         -56          34
         -24          34
         -60          26
         -40           6
         -40          -4
         -16           6
         -24         -18
         -32          -8
         -24         -22
         -52          -8
         -28          10
         -52         -22
         -24         -14
          -4          -4
         -24           0
         -16          -8
         -28          -4
         -32          -2
         -28          16
         -48           6
          -4          10
         -20          -2
         -44           8
         -40         -24
         -48         -28
         -32         -14
         -48         -24
         -48         -30
         -64          -2
         -36          28
         -48          12
         -44           6
         -32          26
         -12           6
         -24          12
         -24          42
         -12          -4
         -48          26
         -40          -4
         -20          -4
         -68         -44
         -40         -42
         -56         -22
         -40         -10
         -24         -20
           0          16
         -20          16
         -32          -4
         -36          -2
         -32           6
         -40          20
         -20          -2
          16         -10
         -24          -8
         -44           8
         -24           6
         -20           0
         -28         -18
         -44           0
          -4          -8
         -20          -2
         -32           4
         -52           2
         -28           2
         -48          -8
         -40          14
          -8           2
         -28         -18
         -24         -18
         -36           4
         -24         -40
          -4           6
           8          12
         -52          22
         -28          18
         -20          12
         -20         -14
         -52           8
         -28         -12
         -52         -10
         -40          -4
         -40           2
         -16          20
         -36           2
         -24           4
         -12          -2
         -28           0
         -44         -10
         -32          20
         -64          18
         -12           4
         -36         -16
         -44          -6
         -40           6
         -20          22
         -32         -14
         -16          -4
         -20         -20
         -44         -22
         -36           2
         -40         -18
           4           8
         -40          -2
         -36          18
         -44          16
         -48          34
         -16           4
         -32          18
         -24          28
         -24          16
         -44           8
         -12         -26
         -28          -6
         -28         -12
         -28         -14
         -52           8
         -48          12
         -48          -6
          -8           4
         -60          28
         -28          -4
           8          -2
         -20          -8
          -4          18
         -16           0
         -32         -20
         -40          -4
         -36          20
         -16          12
         -52          18
         -12         -10
         -28           0
         -32          16
         -12          -2
         -56         -28
         -36           4
           0         -10
         -68           4
         -40         -10
         -24         -16
         -64         -42
         -32         -20
         -36          20
         -40           8
         -12          -8
         -36          20
         -24           6
         -68         -14
         -36          -6
         -36           2
         -32         -30
         -44         -38
         -24          -2
         -32         -18
         -40          -6
         -52          -4
         -28          16
          -4          16
         -28           4
         -16           6
         -28           4
         -44          14
         -24          -8
         -20           4
           0         -16
         -44           8
         -40           0
         -36           2
         -60          18
         -60          14
         -40          12
         -32          32
         -16          18
         -32          14
         -52          10
         -20         -20
         -36         -20
         -60          16
         -16          -2
         -24          14
           8           2
         -24         -12
          -8           6
         -24          -2
         -28          -4
         -36         -12
         -28           4
           0          16
         -40          14
         -48          18
         -36           8
         -48         -18
         -20         -12
         -16         -20
         -28         -10
         -16          22
         -36          20
         -12          12
          16           2
           0           0
         -44          -4
         -32          -6
         -28          10
         -40          -2
         -60         -18
         -12          12
         -36          22
         -24          38
         -20           4
         -24           0
         -40         -16
         -48          -4
         -32         -14
         -40          -2
         -32           6
         -28          -4
         -12         -12
         -32          14
         -16          -6
         -36         -18
         -32         -26
         -20         -16
         -32           0
         -20           8
         -40          22
         -36          14
         -44          22
         -64          22
         -12          24
         -20          -6
         -36          -2
         -24         -14
         -28           2
         -32           6
          -4           0
         -20          -6
         -40           6
         -24         -22
         -24           0
         -52         -24
         -36         -12
           0         -16
         -28          -2
         -12         -10
         -24         -14
         -32         -12
          -8           2
         -12           6
         -52           6
         -20          -2
         -36         -14
         -52          -4
         -24          -4
         -16           0
          -8          -2
         -44          30
         -56          10
          -4         -14
          16         -16
         -36          -6
         -40         -10
          -8           4
         -32          -6
           4          -2
         -24         -26
           4         -22
         -16          -8
         -28          10
         -84          14
         -64         -18
          -8         -12
         -36          14
         -40           6
         -28           8
         -24           2
         -48         -10
         -60         -24
         -48           4
         -28         -20
         -20          -6
         -20         -16
         -16         -30
          12           0
         -48          36
         -32           6
         -28          14
         -24          12
           0          -2
         -36         -10
         -40         -10
         -48         -20
         -32           0
         -20           0
         -36          10
         -24           2
           4           8
          -4          10
         -56         -24
         -36         -12
         -52         -32
         -44         -10
         -12          -4
         -44         -10
         -16         -12
         -36         -26
         -24         -12
         -32          12
         -32           0
         -16         -30
         -32          -2
         -16         -20
          -4          -6
         -12          -4
         -20          -8
         -36         -16
         -16          16
           4           0
         -16         -10
         -44          -4
         -48           8
         -32          -4
         -32         -12
         -16           2
         -24           8
           4          22
         -16         -10
         -24          -4
          -4          -6
         -28          -4
         -20         -12
         -16           6
         -48          18
         -28           4
         -40         -12
         -44         -10
         -48           0
         -12           6
          -4           4
         -12          22
         -20           2
         -28           0
         -16           2
         -48         -16
         -32         -12
         -12          18
          -8          28
         -36           4
         -36          24
         -16          20
          -4           0
         -20          16
         -40          -2
         -20         -10
         -56          -8
         -16          -8
         -32           4
         -20         -10
         -36           2
         -40           2
         -44          -2
          -8          -4
         -28          -6
         -36          18
         -28           2
         -24           8
         -60          38
          -8           0
         -28          -4
          -4           4
         -16          -6
         -20         -18
         -44          -4
         -52         -20
         -24           8
         -32          10
         -40         -14
         -40         -12
         -44         -22
         -40         -16
         -24           4
         -68           2
         -36         -20
           4          10
         -32          -2
         -20          30
          -8           2
          -8         -22
         -36          -4
          12         -12
         -36          -2
         -32          42
         -28          40
         -48          20
         -44          30
         -28          24
          -8          24
         -32          -8
         -24          -2
         -36          28
         -52          30
         -52          14
          -8          14
         -56         -16
         -40          12
         -64          -4
         -36          10
         -48          26
          -8          18
         -44          10
         -60          20
         -48          22
         -32          -2
         -36         -36
         -24          -4
         -56           6
         -40          -8
          -4         -16
         -40         -14
         -60         -20
         -52          -2
         -12          -6
         -32          14
         -32          12
         -32          -4
         -36           2
          16          -2
         -56         -14
         -40           0
         -16          -4
         -24           2
         -16           0
         -16          -8
         -12           6
         -32           6
         -12          -4
         -24         -16
         -52         -36
         -40           0
         -48         -22
         -36         -30
         -32         -22
           4          -6
         -36         -24
         -32          -6
         -40          10
         -40         -20
         -56         -22
          -8          -6
         -20         -16
         -16         -20
         -24           0
         -28          -6
         -36           6
         -16           0
         -24          16
           0          -4
         -24          -8
         -36          -8
         -32          -8
         -40         -18
         -48         -12
         -24           2
         -44          16
           0           6
         -36           6
         -20          10
         -24          14
         -28          16
          -8           2
         -20         -20
         -36          22
           8          -2
         -20          28
         -16           0
         -60         -20
         -40         -10
          -4           8
         -44           4
