# ###################################################################
#      2d Ising Model with Metropolis algorithm on square lattice    
# Run on  () by bips on Wed Dec  1 19:47:21 2021
# L       =     10 (Lattice linear dimension, N=L*L)
# seed    =           5342
# nsweeps =        10000 (No. of sweeps)
# beta    =      0.44000000000000000    
# start   =    1 (0 cold, 1 hot, 2 old config)
# RANLUX LUXURY LEVEL SET BY RLUXGO : 3     P= 223
# RANLUX INITIALIZED BY RLUXGO FROM SEEDS        5342           0           0
        -184         -96
        -164         -88
        -164         -88
        -160         -88
        -180         -94
        -168         -90
        -140         -78
        -144         -82
        -152         -86
        -176         -94
        -168         -90
        -152         -86
        -172         -92
        -148         -82
        -128         -72
        -164         -86
        -164         -88
        -156         -88
        -164         -88
        -180         -94
        -176         -94
        -148         -84
        -176         -94
        -192         -98
        -160         -88
        -164         -88
        -160         -86
        -152         -88
        -132         -72
        -120         -68
        -124         -72
        -156         -88
        -152         -76
        -148         -72
        -148         -64
        -136         -72
        -152         -82
        -140         -76
        -136         -78
        -152         -82
        -132         -70
        -140         -78
        -156         -82
        -184         -94
        -160         -88
        -176         -94
        -192         -98
        -184         -96
        -192         -98
        -200        -100
        -184         -96
        -172         -92
        -164         -88
        -172         -92
        -188         -96
        -180         -94
        -172         -88
        -176         -92
        -172         -92
        -192         -98
        -172         -92
        -192         -98
        -176         -94
        -156         -88
        -172         -92
        -152         -86
        -160         -88
        -164         -90
        -164         -90
        -176         -94
        -156         -88
        -152         -84
        -140         -76
        -136         -76
        -176         -92
        -176         -94
        -180         -94
        -184         -94
        -188         -96
        -180         -94
        -168         -90
        -156         -86
        -148         -80
        -160         -88
        -124         -76
        -124         -76
        -132         -78
        -140         -82
        -148         -84
        -128         -74
        -136         -72
        -124         -74
        -140         -78
        -132         -70
        -120         -62
        -140         -76
        -152         -72
        -128         -54
        -124         -60
        -152         -68
        -152         -80
        -136         -76
        -140         -72
        -136         -60
        -144         -64
        -132         -54
        -140         -60
        -152         -74
        -156         -74
        -116         -66
        -112         -50
        -116         -72
        -140         -78
        -144         -80
        -140         -82
        -176         -92
        -192         -98
        -160         -88
        -184         -96
        -168         -90
        -176         -94
        -168         -92
        -164         -86
        -152         -84
        -164         -86
        -136         -76
        -116         -62
        -116         -58
        -124         -66
        -124         -68
        -132         -70
        -136         -74
        -136         -80
        -140         -82
        -168         -90
        -152         -86
        -152         -86
        -192         -98
        -168         -90
        -168         -90
        -172         -92
        -192         -98
        -200        -100
        -176         -94
        -180         -94
        -192         -98
        -192         -98
        -192         -98
        -176         -94
        -164         -88
        -140         -78
        -140         -82
        -148         -80
        -164         -88
        -168         -92
        -172         -92
        -160         -86
        -144         -80
        -176         -88
        -180         -90
        -164         -86
        -184         -96
        -168         -92
        -168         -88
        -152         -80
        -144         -82
        -140         -72
        -136         -70
        -124         -68
        -104         -66
        -128         -60
        -136         -62
        -112         -62
        -120         -66
        -132         -74
        -112         -62
        -132         -70
        -160         -80
        -168         -86
        -164         -90
        -148         -80
        -180         -94
        -168         -92
        -156         -88
        -164         -90
        -164         -88
        -160         -88
        -180         -90
        -180         -94
        -152         -84
        -148         -82
        -144         -76
        -136         -72
        -144         -78
        -144         -76
        -168         -90
        -168         -86
        -156         -82
        -156         -82
        -152         -80
        -152         -86
        -152         -82
        -176         -92
        -164         -86
        -168         -88
        -180         -94
        -192         -98
        -160         -88
        -136         -80
        -140         -80
        -152         -84
        -172         -92
        -164         -90
        -148         -86
        -152         -84
        -144         -80
        -148         -82
        -180         -94
        -168         -92
        -160         -88
        -168         -90
        -180         -94
        -156         -84
        -160         -86
        -156         -84
        -136         -78
        -152         -84
        -152         -84
        -136         -70
        -136         -78
        -168         -92
        -140         -78
        -124         -68
        -164         -82
        -128         -68
        -136         -70
        -132         -64
        -148         -62
        -140         -60
        -144         -66
        -128         -50
        -148         -68
        -152         -78
        -164         -90
        -152         -88
        -168         -90
        -180         -94
        -172         -90
        -156         -82
        -132         -72
        -120         -68
        -152         -82
        -172         -88
        -160         -84
        -156         -88
        -148         -84
        -176         -92
        -176         -90
        -160         -82
        -176         -90
        -160         -84
        -176         -92
        -164         -88
        -168         -90
        -168         -90
        -184         -96
        -160         -82
        -128         -70
        -132         -78
         -96         -60
        -120         -50
        -136         -48
        -136         -46
        -128         -56
        -112         -64
        -100         -50
        -104         -62
         -96         -58
        -144         -78
        -124         -66
        -136         -54
        -116         -50
        -124         -54
        -132         -56
        -140         -60
        -128         -46
        -108         -48
        -104         -44
        -132         -56
        -120         -54
        -128         -66
        -112         -64
         -96         -50
        -112         -62
        -128         -58
        -120         -64
        -144         -80
        -160         -88
        -144         -80
        -184         -96
        -168         -92
        -148         -72
        -116         -64
        -120         -66
        -136         -62
        -112         -44
        -120         -54
        -144         -60
        -140         -54
        -112         -48
        -108         -42
        -116         -44
        -112         -40
        -100         -26
         -96         -10
        -100         -22
        -112         -26
         -80          -8
         -88          -2
         -68         -14
         -72         -10
         -72           6
         -88          16
         -88          24
         -92          40
        -104          44
        -108          36
        -108          42
        -112          16
        -120          30
        -124          46
        -104          40
        -128          44
        -100          30
        -104          26
        -108          22
         -88          32
         -96          32
        -112          44
        -116          38
         -92          48
        -136          68
        -144          80
        -136          70
        -144          68
        -160          74
        -164          86
        -164          88
        -184          96
        -184          94
        -152          86
        -124          72
        -148          86
        -180          94
        -176          92
        -144          84
        -176          94
        -172          90
        -156          84
        -132          72
        -132          72
        -144          78
        -160          86
        -176          86
        -160          80
        -152          82
        -148          84
        -136          78
        -164          88
        -152          84
        -136          76
        -172          92
        -160          84
        -176          94
        -180          94
        -164          88
        -144          86
        -164          90
        -172          92
        -172          92
        -192          98
        -188          96
        -156          86
        -160          84
        -156          86
        -156          88
        -184          96
        -176          94
        -200         100
        -200         100
        -192          98
        -176          92
        -176          90
        -176          92
        -140          74
        -148          74
        -160          84
        -152          86
        -164          88
        -184          96
        -152          82
        -180          90
        -152          82
        -164          84
        -164          90
        -176          94
        -176          92
        -172          90
        -156          84
        -160          88
        -144          78
        -132          74
        -156          86
        -132          78
        -160          88
        -148          86
        -180          94
        -192          98
        -152          84
        -160          88
        -156          86
        -152          86
        -160          86
        -152          86
        -116          64
        -120          54
         -96          58
        -104          62
         -96          64
        -124          76
        -120          72
        -140          72
        -128          80
         -92          68
        -100          62
        -128          48
        -132          64
        -108          62
        -144          74
        -148          68
        -144          66
        -144          64
        -144          68
        -144          72
        -160          80
        -156          84
        -176          94
        -192          98
        -172          90
        -176          94
        -156          84
        -152          86
        -148          82
        -160          86
        -160          90
        -168          92
        -188          96
        -184          96
        -188          96
        -168          90
        -188          96
        -184          96
        -176          94
        -148          80
        -156          84
        -148          76
        -156          82
        -128          72
        -128          76
        -136          76
        -148          84
        -168          90
        -156          88
        -144          84
        -128          76
        -124          76
        -140          78
        -140          78
        -168          92
        -200         100
        -156          88
        -156          86
        -160          84
        -164          88
        -156          88
        -156          88
        -184          96
        -184          96
        -164          90
        -184          96
        -172          90
        -172          88
        -180          94
        -160          84
        -156          84
        -164          86
        -152          82
        -164          88
        -148          86
        -156          84
        -152          84
        -168          92
        -160          86
        -156          84
        -160          88
        -144          82
        -164          90
        -176          94
        -192          98
        -148          84
        -140          80
        -140          76
        -136          78
        -172          92
        -176          94
        -192          98
        -164          90
        -172          92
        -164          86
        -184          96
        -172          92
        -172          90
        -184          94
        -168          92
        -156          88
        -156          86
        -148          84
        -156          88
        -192          98
        -192          98
        -184          94
        -164          90
        -168          90
        -172          92
        -164          88
        -172          92
        -172          84
        -168          88
        -140          82
        -148          82
        -176          94
        -192          98
        -192          98
        -188          96
        -172          92
        -168          90
        -164          90
        -152          84
        -176          94
        -168          92
        -168          86
        -132          76
        -132          78
        -172          92
        -200         100
        -200         100
        -184          96
        -184          96
        -160          86
        -176          88
        -132          56
        -116          48
        -108          34
        -104          48
        -108          54
        -104          38
        -104          22
        -100          24
         -92          24
         -84          16
         -76           6
         -88         -12
         -64         -26
         -80         -24
        -100         -40
        -136         -66
        -120         -72
        -132         -72
        -148         -74
        -168         -92
        -144         -80
        -152         -86
        -140         -80
        -136         -74
        -156         -86
        -124         -72
        -132         -70
        -108         -60
        -132         -74
        -148         -82
        -144         -72
        -136         -54
        -140         -68
        -144         -64
        -132         -68
        -144         -80
        -168         -84
        -140         -70
        -160         -74
        -132         -74
        -160         -84
        -140         -80
        -112         -58
        -100         -56
        -124         -48
        -108         -32
        -108         -24
        -100         -20
         -72         -10
         -84         -12
        -112         -14
         -76           4
         -92          18
         -96           2
         -88          10
        -124          20
        -128          26
        -108          16
         -88          32
         -72          24
         -84          42
         -92          36
        -100          32
         -96          16
        -100          16
         -92          24
        -100          46
        -104          40
        -120          36
         -80          28
         -84          32
        -112          30
         -84          26
        -104          42
        -112          50
        -140          48
        -108          48
        -108          54
